id,nombre,precio,imagenes,enlace,colores
1235422002,Relaxed Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4702113-294-450?v=638606080639000000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4702116/Relaxed-Jeans---White---H-M-PE.jpg?v=638606080652900000']",https://pe.hm.com/1235422002/p,[]
1139723011,Skinny Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4887680-294-450?v=638701978376730000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4887680/Skinny-Jeans---Negro---H-M-PE.jpg?v=638701978376730000']",https://pe.hm.com/1139723011/p,"[{'nombre': 'Azul denim', 'rgb': '(173, 186, 209)'}]"
0811993071,Regular Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4564075-294-450?v=638546457535170000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4564080/Regular-Jeans---Azul-denim---H-M-PE.jpg?v=638546457557400000']",https://pe.hm.com/0811993071/p,"[{'nombre': 'Negro', 'rgb': '(46, 46, 48)'}]"
1228147005,Relaxed Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4590651/Straight-Relaxed-Jeans---Gris-denim---H-M-PE.jpg?v=638562025182970000', 'https://hmperu.vtexassets.com/arquivos/ids/4590646-294-450?v=638562025160800000&width=294&height=450&aspect=true']",https://pe.hm.com/1228147005/p,"[{'nombre': 'Denim blue', 'rgb': '(121, 130, 157)'}]"
1008549006,Straight Regular Jeans,S/ 99.95,"['https://hmperu.vtexassets.com/arquivos/ids/4430136/Straight-Regular-Jeans---Negro---H-M-PE.jpg?v=638491171349830000', 'https://hmperu.vtexassets.com/arquivos/ids/4430131-294-450?v=638491171280230000&width=294&height=450&aspect=true']",https://pe.hm.com/1008549006/p,"[{'nombre': 'Light denim blue', 'rgb': '(200, 208, 219)'}]"
1228147008,Relaxed Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4658487-294-450?v=638587086202870000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4658491/Relaxed-Jeans---Azul-denim---H-M-PE.jpg?v=638587086220130000']",https://pe.hm.com/1228147008/p,"[{'nombre': 'Gris denim', 'rgb': '(102, 107, 117)'}]"
1024711033,Slim Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4903729-294-450?v=638719256575170000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4903731/Slim-Jeans---Azul-denim-oscuro---H-M-PE.jpg?v=638719256582770000']",https://pe.hm.com/1024711033/p,"[{'nombre': 'Light denim blue', 'rgb': '(173, 186, 209)'}]"
0931747006,Regular Tapered Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4656503/Regular-Tapered-Jeans---Azul-denim-claro---H-M-PE.jpg?v=638587069840670000', 'https://hmperu.vtexassets.com/arquivos/ids/4656499-294-450?v=638587069824970000&width=294&height=450&aspect=true']",https://pe.hm.com/0931747006/p,"[{'nombre': 'Negro', 'rgb': '(39, 38, 40)'}]"
1218500002,Bermudas denim Hybrid Slim,S/ 103.00,"['https://hmperu.vtexassets.com/arquivos/ids/4405052/Bermudas-denim-Hybrid-Slim---Negro---H-M-PE.jpg?v=638479942437630000', 'https://hmperu.vtexassets.com/arquivos/ids/4405051-294-450?v=638479942434200000&width=294&height=450&aspect=true']",https://pe.hm.com/1218500002/p,[]
1231939001,Gorra de twill con motivo decorativo,S/ 39.95,"['https://hmperu.vtexassets.com/arquivos/ids/4504852-294-450?v=638519688144670000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4504852/Gorra-de-twill-con-motivo-decorativo---Gris-denim-Hombre-Ara%C3%B1a---H-M-PE.jpg?v=638519688144670000']",https://pe.hm.com/1231939001/p,[]
1122340002,Parche en denim,S/ 17.95,"['https://hmperu.vtexassets.com/arquivos/ids/3925186-294-450?v=638316655228800000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/3925186/Parche-en-denim---Azul-denim---H-M-PE.jpg?v=638316655228800000']",https://pe.hm.com/1122340002/p,"[{'nombre': 'Azul denim claro', 'rgb': '(151, 173, 191)'}, {'nombre': 'Negro', 'rgb': '(39, 38, 40)'}]"
1122340003,Parche en denim,S/ 17.95,"['https://hmperu.vtexassets.com/arquivos/ids/3925188-294-450?v=638316655273970000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/3925188/Parche-en-denim---Azul-denim-claro---H-M-PE.jpg?v=638316655273970000']",https://pe.hm.com/1122340003/p,"[{'nombre': 'Negro', 'rgb': '(39, 38, 40)'}, {'nombre': 'Azul denim', 'rgb': '(104, 113, 122)'}]"
1122340001,Parche en denim,S/ 17.95,"['https://hmperu.vtexassets.com/arquivos/ids/3925184/Parche-en-denim---Negro---H-M-PE.jpg?v=638316655187170000', 'https://hmperu.vtexassets.com/arquivos/ids/3925184-294-450?v=638316655187170000&width=294&height=450&aspect=true']",https://pe.hm.com/1122340001/p,"[{'nombre': 'Azul denim claro', 'rgb': '(151, 173, 191)'}, {'nombre': 'Azul denim', 'rgb': '(104, 113, 122)'}]"
1219416002,Gorro de pescador de algodón,S/ 49.95,"['https://hmperu.vtexassets.com/arquivos/ids/4899367-294-450?v=638715388766000000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4899367/Gorro-de-pescador-de-algodon---Azul-denim---H-M-PE.jpg?v=638715388766000000']",https://pe.hm.com/1219416002/p,"[{'nombre': 'Beige', 'rgb': '(193, 172, 147)'}]"
1048567051,Gorra de algodón con bordado,S/ 39.95,"['https://hmperu.vtexassets.com/arquivos/ids/4606836-294-450?v=638568076418800000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4606836/Gorra-de-algodon-con-bordado---Azul-denim-Moss-park---H-M-PE.jpg?v=638568076418800000']",https://pe.hm.com/1048567051/p,"[{'nombre': 'Verde', 'rgb': '(184, 184, 163)'}, {'nombre': 'Negro', 'rgb': '(39, 38, 40)'}]"
